红红火火恍恍惚惚
尔泰领盒饭了
有和我一样觉得尔泰和小燕子配的吗
讨厌紫薇
舍不得尔泰呀
由喜欢而泰的。
紫薇在二部14集怎么变漂亮了
为什么老版不会看？
赛亚快来了，你们喜欢吗
五阿哥跟小燕子好配
紫薇真心不好看
又开始作诗了
自私又来了
晴儿对萧剑
随着年龄的增长每看一遍都有不同的感想
喜欢喜欢尔泰
你们那么喜欢老版为什么来看新版
感觉这里紫薇特地穿那些显胸的
哪里可以讲
好了好啦！尔泰可以领盒饭了
囖囖囖囖囖囖囖囖龙囖囖囖囖囖囖5哦咯咯咯咯咯咯莫咯
不喜欢海陆
满屏的尔泰赛亚
什么叫那么想？紫薇是为了她娘还有尔康
说实话还是老版的这段好看 还是林心如的紫薇好看
[elfjz]
有人
对对对对对对对对对对对对对对对对对对对对对对对对对
安静的看剧
必须要有人在
有
都没人
山雨欲来风满楼
尔泰马上要见老婆喽
有
有
尔泰要去领盒饭了
你们怎么老是说人家难看  你好看你去演啊
尔泰要没了，好伤心啊
尔泰要走了，四大护卫要变三大护卫了
生如夏花
感觉紫薇好想当回格格，，，，，，，，，，，
我是导演，我是导演，我是导演，我是导演。
风雨欲来风满楼
老版优酷可以看
老版我记得还有蛮多故事   南巡
老版湖南卫视能看
因为旧版要VIP
紫薇自私，只为自己想
晴儿最好看
看好永琪和小燕子，嘻嘻～
飞人^
你们觉的永琪帅吗
呃呃(⊙o⊙)…(⊙o⊙)…
喜欢永琪
好卡呀
1心疼儿太 不想让他走
正在深夜看的举手
只能说有。
你没说哟？
尔泰尔泰，舍不得
塞娅你好坏带走了尔泰
一次出巡就两三个月，每年出巡个两三次那一年都过去了
啊哎 四大护卫要变3大了、、
舍不得尔泰的跟一个
小燕子果然是奇人
之前挺喜欢聊他滴现在就。。。。。
帅帅
尔泰别走
尔泰要走了
之后怎么样了？谁知道？
喜欢尔泰
永琪
怎么感觉他们才刚刚出宫就要回去了
舍不得尔泰
尔泰舍不得你
出气球赛在哪集
尔泰为什么走？
尔泰尔泰
心疼尔泰
尔泰要走了
2018年2月10号，旧版还珠格格可以在湖南台看哦
舍不得尔泰啊！
尔康和小燕子在一起了
1紫薇好漂亮
现在讲了老佛爷能接受？
香妃还没出来呢
我好喜欢这部电视剧看了好几遍了
还是新版好看
不想回
你到时候是肖夫人，有的你潇洒
飘飘然^
我感觉还是尔泰帅
看晴儿的
呵呵
嗯
爸爸妈妈妈妈要去买菜好吃好喝好的要晴晚。
尔泰什么时候结婚啊
对，如果她不当格格怎么和尔康在一起
班杰明好可怜，要是我是班杰明的话  就会和小燕子摊
9494
啦啦啦啦
我这儿是白天
帅
终于要回宫了，想见赛亚
晴儿辅助
我心疼外国人的退出，皇帝的父爱燕子的没心眼
紫薇和尔康很配
紫薇瘦了，就好看了
其实赛亚也不错哈
看这个电视可以学到很多诗词歌赋
好可怕，小燕子永琪的结局要来了
尔泰要走了好舍不得四大护卫变三大护卫了
好看
尔泰是谁演的
尔泰不要走
尔泰是我的
不舍得尔泰走
说的是尔泰塞牙走一年，结果不回来了
百看不厌
直接说夏雨荷生了两个女儿不就完了
不舍得尔泰
为什么没有花絮
永琪笑容好宠溺啊
人
喜欢尔泰
有人吗？
有
嗯呢
再见！
太医的口香糖过分了啊
这一集结婚吧
有
。。。。。。。。。。。。。。。。。。。对对对对对对
萌
吹号的穿成这样不冷么？
为丽颖而来
刚刚去看了尔泰的微博，虽然人少但是我相信都是真心的
路宏   我爱你
好喜欢尔泰
喜歡令妃娘娘和含香
好快呀，
终于回来了
尔泰也喜欢小燕子
嗯，要不是有尔泰我都想要赛亚了
要了
太快了吧
为什么没有小燕子被抓走那段呢
好舍不得尔泰
感觉尔泰对小燕子有好感
啦啦啦
臭獾子
喜欢永琪
承包路宏
可惜了，尔泰要走了
老爷好像不喜欢小燕子了
香妃没了
咦 左下角那个人好像牌牌琦...
好久换的衣服  太假了吧
这就出口成章？？？？
这么快就回宫了
感觉尔泰对小燕子有好感
为什么没有小燕子被抓走那段呢
尔泰也喜欢小燕子
人们
距离尔泰结婚不久了
在呢
令妃确实很漂亮 有料
对
确实
有
。又干啥
永琪帅帅哒
我喜欢看，我过完春节都看两遍了
令纪是三生三世里的乐勋娘娘
塞亚
有人吗
又看见四大才子了
2017.8.28
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
令妃好美啊
还是喜欢看宫外
我要媳妇媳妇
金锁的脸也太，，，大了吧
这迎接皇上的还没迎接老佛爷的场面大了
尔泰结婚的时候晴儿打扮的最美啦
他们在哪儿换的衣服？？？
紫薇看起来有点壮
好喜欢令妃真好看
路宏我的
令妃是谁
赛娅演技颜值并存
下雨的那段呢
四大护卫下马好帅
令妃确实很漂亮 有料
令妃确实很漂亮 有料
讨厌愉妃
y师傅，我喜欢你，特别特别喜欢
出巡演了10集
尔泰结婚是第几集
还有七集
尔泰媳妇快出来了
超级喜欢尔泰
不好看
舍不得尔泰
嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯
晴儿美美哒
素锦
令妃蛮好看的
是乐胥
不喜欢五阿哥的娘
皇后好贱
令妃是，三生三世，十里桃花里面的乐胥娘娘。
不是乐勋娘娘。
尔泰是谁扮演的
五阿哥他妈大小眼儿
讨厌五阿哥的娘
令妃真漂亮啊我想......
讨厌愉妃
柴碧云很矫情，假装说话很直接，一堆坏心眼
2018/1/9号
嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿
有没有人啊？
令妃好美
真的觉得令妃好漂亮
最讨厌永棋了
衣服哪来的
不希望尔泰走
你记挂的是小燕子吧？
永仁娘  牙齿好丑
令妃娘娘叫什么
令妃美
塞亚谁演的？
不希望尔泰走
尔泰媳妇快出来了
令妃好美啊
永琪帅帅哒
令妃真漂亮啊我想......
hgeitg9tiajputidh79
好喜欢令妃，讨厌愉妃
huyfuyfuytfuyfggggjhfghgghjhkkk
回宫了
不知道
我也喜欢尔泰，太帅了
颖宝好美
舍不得尔泰啊
讨厌他额娘
还是令非娘娘好
如果令妃是永琪的额娘该多好
不太喜欢，愉妃娘娘。
窝？？？？哈哈哈哈哈哈
咱家柴碧云要来啦！
皇上回宫，吹的那啥东西，都掉漆了……
嗯啊嗯啊嗯啊嗯啊嗯啊嗯啊嗯啊嗯啊嗯啊嗯啊
CXCX C XC XCX  
永琪他娘是阿拉雷的妈妈吧
讨厌余菲
余非，，你璀璨人生看多了吧
最讨厌永琪的娘
还是宫里的衣服漂亮
2018年
哈哈哈哈
哇塞晴儿
美
。。。。
这五阿哥额娘眼睛，，，，
不i不i不i
永琪帅帅的，萌萌的
愉妃牙齿黑的
愉妃和新容有点像
窝
一眼大一眼小
颖宝颖宝最美最棒
好多都删减了
他这个额娘真不舒服
如果令妃是永琪的额娘该多好
镜头总是神不知鬼不觉的把尔泰放在小燕子后边
尔泰结婚是第几集
令妃真漂亮啊我想......
如果令妃是永琪的额娘该多好
犹太人会议人员回忆永远也垚urewthugt89t他
ugyslthuiayt用软件和体会
对，喜欢令妃
令妃是很漂亮，看起来都好善良
不喜欢皇后
我也讨厌俞妃
尔泰和赛哑挺配的
知画该出来了
看晴儿的
更喜欢晴儿
怎么办，尔泰要走了，我不想看了
儿子回来了哈哈，应该是儿臣
讨厌愉妃，逼着五阿哥娶小三，还以上吊威胁
小燕子又要坐牢了哈哈哈啊哈
余妃假温柔
雨非牙上的菜叶子
啊啊啊
这占位？服
尔泰和谁结婚了
不喜欢紫薇
2018.2.1
晴儿穿橙色还有紫色衣服好看
哈哈哈哈哈哈哈哈隔
愉妃也一堆坏心眼
不就是皇上出巡回来而已吗？用得着那么大阵仗来迎接吗
皇上离开宫几个月回来不用大阵仗迎接？你以为跟你一样
人家事皇上，怎么可能说儿臣，傻吧
演尔泰的叫路宏
永琪和他娘长的挺像
喜欢阿泰
各回各家，各找各妈
好现代化啊
这是甄嬛吧
欣荣是不是阚清子
好喜欢令妃真好看
已通过可通过iretgyi要提前已通过
老不死呢
讨厌皇后
紫薇胖了
hjuhlll 
不喜欢贵嬷嬷，烦人
桂嬷嬤！哪儿都有你！
就令妃娘娘最善良
讨厌永棋额娘
紫薇真TM作
讨厌俞飞
喜欢的尔泰又要走了  心塞
看到俞妃就想抽
回来家门口就已经这么穿了
看见永琪的娘就跳过
娥泰退出了四大护卫
儿子。。。。
愉妃太假
最讨厌愉妃！
讨厌余飞
紫薇你走到前排啦，你还不是格格
这是甄嬛，老佛爷？？
金锁太欠了
桂嬷嬷好多戏
赵丽颖爱你
这是甄嬛
不喜欢皇后
就令妃娘娘最善良
1
，，，
886
小燕子和晴儿都是格格为什么行的礼不一样呢！
晴儿真不要脸
觉得紫薇作的扣个1
爱新觉罗.弘历
1
11111111111
1111111111111111111111111
111111111111111111111
讨厌余妃，都是因为他小燕子和五阿哥才走的那么辛苦
111111
看紫薇就想跳过
1
紫薇不是丫鬟呐    怎么走到格格阿哥前边。也是醉
1111
晴儿这样更好看
美美美美美美美美美美美美美美美美美美炸了
1111
20180208有人吗
111
啦啦啦
1
紫薇还是丫鬟怎么头上也是一朵花。
晴儿笑得好美
晴儿美
你们不要骂金锁，你们骂金锁就说明她演的好。
我觉得老佛爷好看，眼睛特别好看
1111
如果尔泰和晴儿，小燕子的哥哥怎么办撒
太后就是钮祜禄甄嬛
如果尔泰和晴儿，小燕子的哥哥怎么办撒
还株格格真好笑
没有知画只有兴荣
桂嬷嬷刚表情亮了
111111111
看上去紫薇没有小燕子漂亮
桂嬷嬷在看什么？
111
桂嬷嬷真贱
紫薇太作
令妃好
1111111111111111111111111
桂嬷嬷那眼神
老佛爷其实不坏啊
那里弱
2018年5月23日，有人看吗？？
桂嬷嬷什么眼神
喜欢新版的老佛爷
没人吗
尔泰太帅了
呵
小燕子太直了说话
后面有个抢镜头的人
好喜欢尔泰
讨厌紫薇的扣1
你是尔泰派来的吗？
小燕子这性格哪里讨喜了
不喜欢桂嬷嬷
桂嬷嬷一直出镜。哈哈哈
333
说话直不好吗？
1
不喜欢紫薇
。。。。。。。
觉得尔泰长得挺帅的
桂嬷嬷一直出镜。哈哈哈
金锁妖精好丑最讨厌她了
还是小燕子受欢迎，回来都围着小燕子，而紫薇只有金锁
喜欢新版情儿
没变
q
…不喜欢孙耀琦
晴儿笑得好迷人啊。
紫薇只有金锁哈哈哈哈
晴儿真漂亮
金锁好猥琐
尔泰好帅
桂嬷嬷抢镜头
看晴儿和老佛爷的感情，又想起她们在陆贞里的相杀了
看贵哞哞
看金锁那嘚瑟样
儿子？
狼来了
晴儿头饰好看
喜欢看晴儿笑
1111111111
说别人丑的才是最丑的
全都抱小燕子
都有吧都有吧
喜欢赵丽颖
都有吧都有吧
桂嬷嬷抢镜头
好假
，
讨厌金锁
嗯嗯
哦
刘雪华
哪有瘦了，明明很胖
不喜欢金锁
我也感觉金锁好讨厌，愁死了
讨厌金锁
金锁都不跪，还在旁边看
瘦了。。。。。你从哪里看出来的
感觉金锁都没把自己当丫鬟
金锁说话不清楚
我也感觉金锁好讨厌。
最讨厌金锁
金锁真丑
金锁把自己当什么了？
哪里瘦
讨厌紫薇和金锁
金锁好烦人
老版的晴儿也很美的
明明很胖
金锁，还喊小姐。
讨厌金锁的你们什么心态，都是些女人吧
又小姐，这金锁
这俩真够了
最讨厌金锁
老佛爷好慈祥
嘚瑟样
喜欢颖宝，讨厌金锁
太假了吧？
小燕子是六个人接。紫薇是一个人
讨厌金锁
讨厌金锁，好自私，只希望紫薇好!
…不喜欢孙耀琦
讨厌紫薇和金锁
感觉金锁都没把自己当丫鬟
金锁说话不清楚
金锁最讨厌
你最丑
额(⊙o⊙)…紫薇是胖了吧！
赵丽颖试戏一开始试的是小燕子
谭松韵演小燕子会更好玩。
谭松韵一点都不喜欢她
讨厌金锁
喜欢孙耀琦
这一部紫薇小燕子金锁三人的声音有问题
还好她没演
讨厌四个才子。
哈哈哈
讨厌金锁
超级讨厌金锁
为什么给紫薇跪
嫌自己喊小姐喊的不够啊，还想害紫薇呀。
那么多废话，好好看电视会死啊！
金锁为啥不跪
金锁丑...
非常讨厌这金锁跟有病一样
还珠格格对他们真好
金锁干嘛呢
111111
4
一句
金锁
(ˉ▽￣～) 切~~
这一集看完我跳集里
之后试的紫薇然后哭不出来 就让赵丽颖演的晴儿
紫薇姑娘吉祥？
卡卡卡卡卡卡，卡死了
菜市场？
除了李晟演小燕子，我谁都不认
菜市场？
手机没T_T电了！T_T::>_<::
我服了，给一个宫女请安
队形走起
不喜欢紫薇
那时候谭松韵还没出道
为他们的智商捉急
四大才子好有趣
金锁一点也不丑
香妃什么时候来
为什么金锁不跪
不喜欢别看啊
四大活宝。
好烦四大才子，金锁
觉得明月长得好看，很清秀
四个二货，废话太多
小桌子，挺帅的
什么名字，好听
有本事你去演呀
这几个太监好烦人
觉得金锁好像很讨厌小燕子，只喜欢紫薇
这词语用的
这四大才子，真可爱
刘雪华是真的老了，想当年我可是看着她的琼瑶剧长大的
金锁讨厌
好喜欢这首歌
什么歌
金锁好做作
金锁狗仗人势
金锁脸怎么那么大
呵
卡油
四大才子好会装逼
感觉紫薇姑娘都不 不是宫女了，四大才子都拜她
除了容嬷嬷我谁都喜欢
男女授受不亲啊啊
好看
紫薇只是穿的宫女衣服，其他全都是格格的待遇了
紫薇凭什么坐啊
紫薇是燕子结拜姐妹，肯定一起欢迎
李晟演得很好
为毛没亿岁
这部戏里除了小燕子和五阿哥，其他都不喜欢
背景音乐可以啊
我就喜欢丽颖
菜市场？菜市场啊
明月好漂亮
紫薇TM算什么？
前面说亿岁的，站住。。。。。。就是，为啥没亿岁
背景音乐吉祥歌
互粉夫妇吃饭
太监又不是男的
骂人家看看自己
容嬷嬷，桂嬷嬷，好烦
每次到斑鸠都放卡农
俩外国人为什么要讲中文
金锁就是贱，打死算了，没有金锁的电视剧真好看，
衣服领子好脏
卡油了。
服装不给力  白衣服领口永远是脏的
明月彩霞好飘亮
不要说容嬷嬷桂嬷嬷，他们只是哈哈屁吃多了
喜欢班杰明和皇后
喜欢晴儿的扣3
3
前面的＋1
才子:紫薇真重
紫薇还没有小燕子好看，还仙女。。
班杰明其实看看也挺帅的
金锁不要脸
紫微有一种怪怪的感觉
哦
紫薇太难看了
卡死了
谁在谁在看到扣1
这个是地道中国人
骂紫薇的有毛病啊，人家哪忍你了！
紫薇只是穿的宫女衣服，其他全都是格格的待遇了
容嬷嬷，桂嬷嬷，好烦
师傅才是洋鬼子。呢
他们两个在一起说中文？搞笑。
好喜欢斑鸠
师傅好可爱啊
师傅真逗
我住在欧美
刘雪华印象最深的琼瑶剧就是庭院深深，烟雨蒙蒙
3333333333333333333333333
郎世宁好慈祥
这老头是中国人 不信去查查
他师父像猴子
卡农
师傅真逗
背景音乐是卡农。
每次到斑鸠都放卡农
一般
张睿
三个月？
我看着金锁jio
张睿的眉毛有点用力过度。
刚刚伴奏是神me
最关心班杰明的也就是他师傅跟长寿太医了
好可怜班鸠
没有眉目
外国人说话用中文
和晴儿没有眉目但和小燕子有眉目了
除了金锁都喜欢
气儿力定是什么意思啊！
回复有饭吃6v好挂号费打发他厚度嘻哈尴尬或许太大
老头说真节省时间啊
你们是人是鬼。
一个个表示愁死了
对象？
问度娘，郎教士爸爸是青岛人，妈妈是俄罗斯人
班杰明好帅
没人了吗
输给卫康，
讨厌瑜妃
和小燕子有眉目了 
班杰明眼睛好好看
超讨厌这个女人
但你不敢说
五阿哥，小燕子绝配
你又是那你有是谁
真不希望有个欣荣
我们心里装的都是晴儿
是箫剑
晴儿嘴好长
前方高能，非战斗人员请迅速撤离！
人家商量的时候就说了要如实说好吗
不是说好不说的吗，会保守秘密得吗
五阿哥回来就伤心了
讨厌宇菲
有人吗
说话的回音好大
愚蠢的额娘
愚妃
尔康好惨啊，
没有人了
赵丽颖，为什么要坦白啊
好先进的词“对象”
结果选个宫外的，哈哈哈
死捞婆娘！
说白了 永琪的悲剧都是他娘一手造成的
人家是大家商量好决定说的好吗
他额娘好烦
叛徒
晴儿是心机最深的
人家商量的时候就说了要如实说好吗
骂晴儿的是不是撒，他们说好的要告诉老佛爷
说白了 永琪的悲剧都是他娘一手造成的
愚蠢的额娘
五阿哥，小燕子绝配
讨厌这个愉妃
这个情儿是要干嘛
怎么会这样剧情
晴儿怎么说了
愉妃不可理喻
晴儿怎么说出来了
晴儿，太他妈的贱了
永琪娶了欣荣
这是商量好要说出来的好不好。。
他们让晴儿说的
为什么晴儿会说出去呢
告诉老佛爷了，大嘴巴
好好好不好好好好好好好好好好好好好好好好好好好好好
她们的计划就是让晴儿说出来好吧？你们怎么看的剧
晴儿，...
怎么说了
自己不知道好好看剧吗他们商量过的 不然晴儿怎么交差
切，好朋友，呵呵
还好朋友，呸
商量好的
他们商量过了嘛
她们让晴儿说的
自己看上一级，明明是他们商量的让晴儿说给老佛爷听的
五阿哥最后还是会去找小燕子的
商量的
回宫的时候，小燕子他们都叫晴儿说出真像了。
你们有没有好好看，是尔康他们让实话实说的
还坏
紫薇好讨厌
跟一群猪看电视
没看前面剧情别乱喷
坏球了
你们是前面没看？？明明是说好跟老佛爷说的啊无语
晴儿出卖小燕子她们，不可理喻。
可怜先下父母心
真的，塑料姐妹情
你们到底有没有看呐，回宫之前他们商量好了让晴儿说的
要炸了
好烦呀
大哥些，你们有没有好好看剧。是紫薇们叫她这样说的。
不是说不告诉吗
讨厌晴儿，竟然和太后说了
晴儿好坏
你们弱智吗，他们商量好说的
请仔细看，OK？？？？？？？？？？？
这个版本改了
好喜欢新儿
是他们让晴儿说的  看看太后什么反应
不说谁戚说呀
怎么司以说
她也是想帮忙
愉妃不是早就死了吗
商量好的，如实说的，怎么看的电视？
大嘴巴
挽弓搭箭
是他们让晴儿说的  看看太后什么反应
你们到底有没有看呐，回宫之前他们商量好了让晴儿说的
赵丽颖，为什么要坦白啊
切，好朋友，呵呵
不是说好不说的吗，会保守秘密得吗
人家商量的时候就说了要如实说好吗
大哥些，你们有没有好好看剧。是紫薇们叫她这样说的。
愉妃不可理喻
肯定是告状啊
计划
不是
。。。。。。。。。。
晴儿你咋子了
笨蛋
不过老佛爷很善良
说好的不跟别人说
他们的计划
什么叫晴儿贱？晴儿是和大家商量了的
谁骂的晴儿
不许这样说我的晴儿
好好好好
自己不会看么   这样说人家晴儿
呵呵
他们昨晚一夜商量好的，你们没看吗？不知道不要瞎说。
你们傻吗，没看前面啊
明明是商量好才说的
晴儿怎么说了呀！！！！嘴长
有2017年在看的吗
晴儿嘴真贱
讨厌大嘴巴
他们让晴儿说了。
小燕子他们让晴儿说的
跳着看的人不要乱骂
滚开！他们让晴儿说的，前面没看吗？你们耳朵哪去了
你们是快进看的？
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
晴儿讨厌。。。
   不能怪晴儿·尔康让他说的·商量过的
他们商量过了的  可以给老佛爷说的
2017.12.27
他们让晴儿说的。。
你们知道个屁  人家是提前说好的
甄嬛要开撕了
故意让晴儿先说的
紫薇让说的呗
晴儿，大嘴巴
眼瞎只能说
是小燕子他们叫晴儿说的
说什么大嘴巴，好朋友的，你们有好好看剧？这是计划好
赵丽颖叛徒
你们是不是没认真看啊
明明大家一起商量好啊傻子嘛你们
骂晴儿的都是没认真看的，真是无语
他们商量让他说的，你们是智障吗？
人家的计划
不是晴儿出卖啊，是他们商量好的先告诉太后的
好好看剧，OK？
没脑子？前面商量了让晴儿实话说的，还骂，有病
是他们让晴儿说的
有没有认真看啊你们。。
讨厌晴儿
你们这些说晴儿的是没看前面剧情吗
颖宝坏人我也喜欢
是尔康他们让晴儿说的
说什么大嘴巴，好朋友的，你们有好好看剧？这是计划好
肯定是告状啊
滚开！他们让晴儿说的，前面没看吗？你们耳朵哪去了
他们商量的让晴儿说的OK？
没有认真看吗？明明都商量好了的告诉老佛爷，一群杠精
晴儿大坏蛋
不是的
哈哈哈哈哈哈
这是他们商量好的
你们有认真看吗？是大家同意实话实说的
晴儿好讨厌
晴儿提前坦白，爆发的时候不会太惨
这是计策
讨厌就别看
你们好啊!
晴儿当面一套，背地里一套
讨厌晴儿
紫薇这个笨蛋
有人吗
P
晴儿为什么会说出来呢
人家晴儿惹你啦？
给我站出来
骂晴儿就是和我作对
眼瞎就别看电视了，
是他们叫晴儿说的
没看清楚，就不要乱说，他们之前是商量好的，爱颖宝
眼瞎吧，他们商量的
就是，看不懂剧的人不要瞎说
眼睛有问题，嘴巴毒的就别看了
都有病吧这是导演让这么演老说演员干嘛呀
晴儿不是人
说晴儿的自己看片头
2017.07.16
如果告状她们为什么还说她们好话说情儿的你犯贱吧
晴儿最美，晴儿帮他们
是他们商量好的，让他说的，你们怎么看的
紫薇是
好喜欢永琪
都是智障吗？
明明是大家商量出来的点子
都是智障看片子！？说是商量过的
会不会看啊 脑子都没带吗？
是他们商量好的，所以晴儿才说的，你们没看前面
2018.1.6
2018年
是大家商量要情儿说的，晴儿在帮他们
还好有正常人，她们商量好了晴儿才说的
别冤枉晴儿
前边一群猪，看不见人家在商量
人家商量了的，好吗？
感觉这版本的老佛爷好慈祥
跟一大群猪看电视剧，我都服了你们了
老佛爷年轻时非常漂亮   老佛爷年轻时非常漂亮
我就笑笑不说话
晴儿是帮他们阿
赵丽颖真贱啊
好讨厌金锁小燕子又没做啥
766767979+9+697964+.+.+96
2018.2.19
前面剧情已经说了，小燕子她们和晴儿商量好了
眼瞎就别来看电视剧，人家明明商量好的了
他们商量好了，先告诉太后的
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
这是在帮她们
2018.4.17
愉妃不应该出现啊
颖宝太美了
或者。换个人演。晴儿会被骂死
2018.5.24
古代女生来月经怎么办
看不懂滚
你们这些说晴儿的是没看前面剧情吗
喷子狗没有好好看剧，原谅他们吧
都不带脑子看电视的嘛。你们
喷子狗没有好好看剧，原谅他们吧
能不能好好看？明明是他们商量的让晴儿告诉老佛爷的
自己看前面
这是计划的
有人吗
不过这也更符合剧情，修改的还不错，毕竟是老佛爷养大
自己看前面
不知道就别瞎说，晴儿在帮他们
晴儿挺好的
。。。。。。。
呵呵呵呵呵呵呵
别骂晴儿
我女神
这是计划，不是晴儿坏
颖宝宝
说的对了
晴儿是叛徒，
就是
睛儿好坏
对嘛！
谁敢骂晴儿我就
把上一集仔细看看知道了
别说，哪有那多事啊
一个个瓜皮。是他们让晴儿回来说实话的。
明明晴儿和大家商量好了，才说的！让老弗爷发现就更惨
看电视都不会认真看吗
笑死我啦
跟这些不带脑子看局的蠢货们解释什么
晴儿多嘴
都特么不看完的嘛
晴儿帮他们呀
你们现在帮晴儿说话？那你们凭什么说小燕子和紫薇？
你们不要说晴儿，她们是商量好的，有没有认真看啊？
都没人看了
能别说话了'
越来越喜欢丽颖了
你们都没看
不会看看上级吗？死喷子
此时此刻有人在看吗？
上一集他们商量让晴儿说的
这是他们集体商量的结果
没有嘴长，他们商量过了  
人家自己商量的要告诉老佛爷，看不懂就别出来喷
看不懂电视吗？人家商量好了晴儿才说的，没张眼睛吗
眼睛没长吗？
我以前看，也不懂，恨晴儿。这次看懂了，是商量好，
尔康让她说的尔康让她说的尔康让她说的
心疼晴儿
6666666666666666666666666
整个剧只有丽颖是火的
你们是跳起看的吗
蠢货
2018.2.15
2018/2.16
去看上一集好吗？
胡说八道就知道骂人
嘴都干净点
其实老佛爷不坏啊
后面宫女都听到啦
11集就有3个月
新儿我爱你
大爱晴儿
你们这些喷子，我真是无语了。
gbhfbynfwqazxqwertyuiopasdfghjklzxcvbnm,1234567890
这些喷子也是醉了，自己没认真看还在这儿乱吠
晴儿最好，不行准喷
么么止
塞娅呢
你们这些喷子，我真是无语了。
两代老佛爷都很慈祥
有啊
讨厌晴七
不了解情况的不要诬陷晴儿！
去去去去去去去去去去去去去去去去去去去去去
................
你们好啊！
嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯
晴儿是我女神，不要骂
感觉好像人前一套人后一套。而且是告了状又去解释
你问别骂晴儿
对啊本来就是说好了   晴儿怎么就是背叛呢
iiiiiiii
没有看到她是再帮她们吗
贱不贱呀
还好有正常人
晴儿我爱你！
老佛爷挺好的
你们没有认真看?，为什么要骂晴儿啊？
晴儿棒棒哒
老佛爷真好
都智障么，是商量好让晴儿告诉老佛爷真相的
说静儿的应该是瞎
老佛爷人也挺好的
毁原版。。剧情都变了、
喜欢晴儿大爱晴儿
尔泰娶了个蒙古媳妇
刘雪华台湾演技派    刘雪华台湾演技派
太后挺好
门没关
喷子请看上一集
呵呵
蠢逼，
明明是尔康他们让晴儿回来说的
你们不会看上一集啊？是他们叫说的。喷子是不是眼瞎
我的尔泰要走了  心痛
2018.2.26
老佛爷挺好
老佛爷真好！
这个版本的老佛爷太伟大了！
这个太后老佛爷是陆贞传奇上面的黄太后
66666666
睛儿 爱你
我的颖宝
善有善报
晴儿人设是好的，不准喷
不要再计较了，黑粉当然会这么说
不了解情况的不要诬陷晴儿！
能不能好好看？明明是他们商量的让晴儿告诉老佛爷的
不要再计较了，黑粉当然会这么说
外面有人，刚刚好像还很大声
老佛爷太好了
晴儿满脸油腻腻
老佛爷挺好的
老佛爷人也挺好的
晴儿是在帮他们
嗯
……
对
我喜欢晴儿
剧情看不懂乱说话
好啦，晴儿只是演出来的，不要入戏太深
大家商量的结果，凭什么骂晴儿
谁骂晴儿，我让她死翘翘
不         ;没考试考砸了资料卡开i啊快我
我喜欢晴儿
就是
你才受不住秘密嘞，明明就是他们喊她回来说实话的
