还珠格格真的厉害
好看好看极了
这部的紫薇好丑，又胖，还没明月，彩霞好看
山无轮天地合，才敢与君绝
有
山无棱 天地和 才敢与君绝
就是你咯
我不喜欢尔康，不喜欢愉妃
我不喜欢尔康，不喜欢愉妃
尔泰塞牙要撒糖了哦
呃呃呃呃
皇后应该换成令妃娘娘。
小燕子又要惹事了
紫薇好善良，，
人来
有人再看嘛？
有
山无棱，天地合，才敢与君绝
恩
我是女的
尔泰顶上
尔泰要走了
皇后太坏了
一天天紫薇紫薇的小燕子是炮灰阿，人家好歹是女主什么
小燕子终于有一个合适她的玩伴了 哈哈哈
尔泰呗真是的
怎么又打起来了
可怜的尔泰
真的不是在嘴上画红圈圈了哈哈哈哈黑眼圈
结果就看上你了
皇上好帅
尔泰好帅
安全名戴眼镜了。
又杠上了
赵丽颖好美
噗哈哈哈
哈哈哈哈，她俩又开始了
应该和尔泰结婚后一起住在宫里，就好玩了
2000.11.28
喜欢尔泰
我的尔泰要走了
不是还有别的公子吗？？
尔泰出手了
俩母老虎又咬起来了
尔泰为自己谋取机会
晟宝最美
尔泰动手了哈哈哈哈哈哈
为什么尔康和紫薇这么简单，而五阿哥和小燕子这么难
班级明戴眼镜
我的尔泰要走了
挺喜欢赛雅这个演员的
就是，声音好小
李晟加油
小燕子一闹尔泰救了她。喜欢上尔泰了
小燕子打死他   最讨厌他了
我的尔泰要走了
又是这喜庆的音乐哈哈哈哈
愉妃哪一集自杀？
程七七
对对对，小燕子打死她，
翠浓？？？
太假啦，太假啦
公主个格格，好像都是皇帝的女儿
衣服真漂亮，赛亚
尔泰马上没戏了 他要娶赛亚了
天天就知道打
眼镜是洋玩意啊，斑鸠带着一点也不奇怪
尔泰真的要走了
小燕子和塞亚公主特别像他们两个性格好像
尔泰尔泰
挺喜欢赛雅公主的  长得好看
班杰明好逗！塞娅，
dsdfslkshkjdngjdkjcxcvcncm,,jgjgbjhnkmnhkvg.......
又打起来了
程七七
啊哈哈哈感觉这两人好可爱
紫薇丑死了
我觉得尔泰和赛亚在一起是为了帮尔康
程七七
失散多年的姐妹吧
老二  上
尔泰又得背黑锅。
小燕子终于有一个合适她的玩伴了 哈哈哈
小燕子和塞亚公主特别像他们两个性格好像
小燕子终于有一个合适她的玩伴了 哈哈哈
有谁在看啊 ？。。。
我
我
小燕子加油
嗯嗯
黑衣人
哈哈哈
呵
人家不鸟你
程七七
程七七那时候就出道了
七七演夏至未至的时候就三十多岁了
小燕子用的是哪条鞭子？
赛娅演的挺好的
笑的好假好假，演技也是真的不能在用话语来说了
小燕子来助攻了哈哈
出逃是哪集？
舍不得尔泰走
赛亚是夏至未至里面的程七七
累不累啊
这赛亚不是夏至未至中的小七吗
莫名觉得班杰明戴眼镜好看
格格相当于小姐，公主才是皇帝女儿
喜欢小燕子，喜欢小燕子的性格
哈哈哈哈
身体好了
尔泰是喜欢小燕子的
程七七
尔泰故意的吧
像小燕子
七七
好好
喜欢塞娅
舍不得尔泰走
失散多年的姐妹吧
我  哈哈哈
我在看
我也喜欢小燕子
我
马上这个公主要喜欢尔泰了
呵呵呵呵
我在看
嗯嗯
呵呵我啊
觉得尔泰挺帅的
好帅
成好朋友了
喜欢尔泰
尔泰是在救他哥哥吗
我家尔泰马上要嫁出去了。
中国好弟弟
前面说赛娅三十多岁的站住她今年才28岁
我去，刚发现赛娅竟然是夏至未至里面的77
背锅的尔泰
哈哈哈哈哈哈哈
尔泰好伟大
15203020329
尔泰那么做都是为了小燕子
其实尔泰喜欢小燕子，只不过有了五阿哥
尔康好帅好帅好帅
中国好弟弟哈哈哈
come on
尔泰为了救他哥哥
这个公主看起来笨笨的
尔泰啊啊啊啊啊啊啊啊啊啊
我的尔泰呀
我
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈！！！！！
演夏至未至28岁好不好，不知道别乱说
这是柴碧云吗
这个塞雅跟小燕子一样的性格，跟尔泰在一起还是很配的
感觉应该让塞牙演小燕子
又撩妹了
尔泰真的很伟大
尔泰呀  不要啊
笑死了，这个音乐一起
又撩妹了
美男计
中国好弟弟
厉害了我尔泰
尔泰为了救他哥哥
这个塞雅跟小燕子一样的性格，跟尔泰在一起还是很配的
尔泰故意的吧
马上这个公主要喜欢尔泰了
尔泰为了救他哥哥
尔泰那么做都是为了小燕子
背锅的尔泰
我
呵呵呵呵
尔泰好像我一个同学呀
尔泰好伟大
哈哈
哈哈
哈哈哈哈哈哈哈哈！
哈哈，班杰明好搞笑
哈哈哈
哈哈哈哈哈哈哈哈哈
红红火火恍恍惚惚哈哈哈“
我
加油哦李晟
好丑
哈哈哈哈哈哈哈哈哈红红火火恍恍惚惚
配音牛逼哈哈哈哈哈哈
同感，尔康狠帅
啊偶
尔泰
哈哈
尔泰塞娅999999999999999
笑死我了
皇上好萌
哈哈   皇上笑了
哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈，好笑
怎么可以把赛娅许配给尔泰
哈哈哈哈哈哈哈哈哈
哎  还是他们两逗
为什不改改剧情赛亚嫁到尔泰家以后就能继续看见尔泰
66666666666
现在看的。有没有。
哈哈哈哈哈哈
皇帝的表情好搞笑
塞娅是柴碧云？
小燕子好皮
啊哈哈哈感觉超级有爱啊
啊哈哈哈哈简直不能再可爱了啊啊
哈哈哈
鳄鱼阿伦咯娄旅途将计就计了咯剧手机将军令啃着在我看
说
尔泰一个人去蒙古不会孤单吗？
哈哈哈哈哈哈哈哈
哈哈哈
哈哈
哈哈哈哈】
赛娅见一个爱一个，太那个了吧！
皇帝也好逗
古代就知道有大熊猫了吗
哈哈哈哈哈哈哈哈哈哈哈哈
这么大的黑眼圈
笑死了，这个音乐一起
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
15203020329
其实尔泰喜欢小燕子，只不过有了五阿哥
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈！！！！！
好喜欢班杰明
就是
壶口
搞笑
姑娘十八一朵花
  
bdhddhxjskdhhdffcfhGhdidd
赛亚不是三生三世十里桃花里的玄女吗！！
哈哈
哈哈
小燕子好可爱
哈哈哈哈哈哈
说玄女的都是瞎
哈哈哈哈
前面的 脸盲到一定程度了，不是玄女是程七七
不是玄女
其实尔泰系
尔泰走了.好可惜
哈哈
赛亚是柴碧云
二维码
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
斑鸠戴眼镜也挺好看
当然不是
不是玄女。。。
哈哈哈
哈哈哈
会哈更会哈更会哈更会哈更会哈更会哈更会哈更会哈更会
程七七
因为赛亚的性格像小燕子所以她选择了赛亚
你是瞎到什么程度了 玄女。。？？像吗
王宫贵族王爷的女儿才叫格格意思是小姐
说玄女的都是瞎
哈哈哈哈哈哈
哈哈哈
前面的 脸盲到一定程度了，不是玄女是程七七
因为赛亚的性格像小燕子所以她选择了赛亚
肉麻
笑的我肚子痛
紫薇打扮成格格样了
紫薇的衣服 真花
怎么不穿绵衣了
萌
紫薇衣服好花啊
塞娅是夏至未至的程七七
紫薇好胖啊
你瞎呀，哪里是玄女
不是
哎哟哟
紫薇当格格咯。
享福了呵
好厉害好厉害
紫薇妆好浓
皇～阿～玛～
紫薇憨胖
真的，紫薇的身材？还是衣服的问题？
为什么紫薇头饰就比小燕子漂亮
还是老版格格的旗头好看  新版不喜欢
班杰明这么快洗干净了哈哈哈
你是瞎到什么程度了 玄女。。？？像吗
紫薇打扮成格格样了
紫薇换装备了
呵呵呵呵呵
牌匾上还写的蒙古字
尔康的衣服好脏
一妻两夫
紫薇怎么没有册封典礼！怎么没有赏赐
紫薇好难看
滚滚滚滚
紫薇的目的就是当格格
紫薇你当上格格了，容华富贵了，你满意了
你们才丑
小燕子牙齿好黄
搞笑
还是小燕子好看
。。。。。。。。。。。。。。。。。。。。。。。。。
觉得紫薇胖的扣11
11
挺喜欢紫薇的
这个时候尔康就已经喜欢小燕子了
永琪看小燕子的眼里有光
紫薇是榜
皇后萌萌了
发达的的顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶
紫薇贱
又吃醋了
我觉得紫薇的格格装和旗头好看
跟小燕子说话好累，说不上两句又发神经
小蒸孓的哥哥
你长得好看，
哈哈
又开始发脾气了哈哈哈
紫薇的流苏很漂亮
紫薇胖死了
喜欢张睿
我的牙齿也黄了，怎么办
终于在一起了
紫薇头饰好看
一夫多妻？尔康~
赛娅好看
尔泰喜欢小燕子但是不能和永琪抢塞亚和小燕子很像..
紫薇屁股好大
喜欢赛雅，好可爱。
特别是头上戴的。
她们头饰好漂亮
我觉燕因该配班杰明的
对
哈哈哈哈哈哈哈，吃醋了
llllllllllllllllllllllllllllllllllllllllllllllllll
哈哈
顶顶顶
！！！！！！！！！！！！！！！！！！！！！！！！！
聪明的紫薇
紫薇一点格格气质都没有，哪里高贵端庄了，无语O__
、、、、、、、、、、、、、
同意 紫薇贱
讨厌海陆
醋王上线
和花非花雾非雾一样，一说话就吵架
小燕子贱
没人了吗？
说不上两句又开始无理取闹
又一个关卡，剧情开始了
莫名其妙的
赞我的都是帅哥美女
最后把尔泰拐走了
这个尔康长得太张伟了，怎么看都出戏
没说两句就吵起来了 以后该怎么过啊
和花非花雾非雾一样，一说话就吵架
跟小燕子说话好累，说不上两句又发神经
和花非花雾非雾一样，一说话就吵架
又吵起来了
小燕子他哥
怎么看的，那还有这部电视剧之说吗
这个电视，没有谁有班杰明可怜，赞起。
聪明
我也觉的小燕子和班杰明是一对就好了
紫薇衣服还挺艳的
啧啧啧啧啧啧啧啧啧啧啧啧啧啧
句v就华晨宇飞天遁地有呀参与GV哈哈就“
紫薇真的花。。
对
他娘的不是晕过去了吗她怎么知道是萧剑
好聪明
紫薇好聪明
这配乐挺好听
可爱的小燕
赛亚和尔泰好配啊，在一起吧
王大顶来了
求赞
聪明？那叫精
紫薇好胖
一点不好看
紫薇好胖
小燕子耳环不一样
一群傻子
。。。。。。
紫薇真聪明！！！
紫薇换上格格装还行点吧…宫女装丑死了
尔康有点帅
紫薇好聪明
这个bgm我喜欢
这配乐挺好听
最喜欢晴儿
小燕子耳环不一样
没人…………
很尴尬
为什么那么糊
呵，有谁和我的意见一样的呀
除了我还有谁
喜欢尔泰和赛亚
小燕子才是最漂亮的最善良的
美极了
小燕子的哥哥
哇
全剧最喜欢的片段来了
我要小火苗苗苗苗苗苗苗苗苗苗苗苗苗苗苗苗苗苗苗苗苗
我
喜欢尔泰喜欢尔泰喜欢尔泰喜欢尔泰
绿帽子，还有谁！！！！
小燕子最丑最贱最做作的，
扭扭捏捏你扭扭捏捏急急急
不喜欢赛娅和尔泰一起
超级喜欢这段
就是来看这里的
撩妹了
尔泰又给自己挖坑
尔泰人坏
塞娅好样的！
笑死我了，紫薇晕过去还能知道是谁
终于能看到他俩啦哈哈哈哈
帅
最喜欢这一段
塞娅，少年好功夫
尔泰还换衣服了？这么有空
喜欢塞牙
一样阿。。。角度不一样而已。
嫌弃自己的哥哥
演得再贱也只是演戏，
开着弹幕有好多秘密
超喜欢尔泰
不许欺负我的尔泰好嘛
这小绿帽
这一段看多少遍都不腻
啧啧啧啧啧啧啧啧啧
尔泰干嘛带个帽子
怎么都没多少人
这剧bgm超赞
般配
最喜欢的片段
开着弹幕有好多秘密
不许欺负我的尔泰好嘛
尔康有点帅
这一段看多少遍都不腻
小燕子才是最漂亮的最善良的
尔泰又给自己挖坑
我
尔泰还是以大局为重
喜欢他
尔泰这身衣服好看，富家公子
贱法  啊哈哈哈哈
尔泰帅
尔泰好帅
哈哈好好玩
喜欢就
哈哈哈哈哈哈
ka   ~   0
这姑凉好看，收了
尔泰管蒙古公主叫蒙古姑娘，可爱
尔泰在撩塞娅，哈哈
快给我小火苗苗苗苗苗苗苗苗苗苗苗
尔泰要走了
尔泰牺牲很大，但是也得到了幸福同意的赞一下
贱法
衣服都变了
刚刚不是这套，换得快
尔泰最好了这整部剧
七七
属实好贱好贱啊
谁能有我贱
情侣装
尔泰不要领盒饭啊
你才有洞
穿帮了
我的尔泰啊！要被拐跑了。。。。
对啊我才发现是绿帽子
尔泰好帅。
果然贱！
喜欢尔泰
我要是小燕子的话，我就把赛亚打的落花流水
尔泰还在过冬天
就喜欢这段
喜欢这一对
特别喜欢这点
小燕子武功好，少年好功夫！
好帅啊
尔泰为了成全尔康和紫薇
哪来的时间换衣服
唉，我的尔泰就这样被别人骗走了，蓝瘦
喜欢尔泰
尔泰
他们是不是在一起了
尔泰我宣你
666
尔泰牺牲自己
尔泰是我的
最喜欢这段
喜欢尔泰
大爱尔泰
不舍得尔泰啊
尔泰真名什么？？？？？？？
喜欢尔泰
最喜欢这段
打打架帽子戴上了
扣图
尔泰要被抢走了
尔泰开始勾引赛亚啦
尔泰尔泰，帅帅帅！
撩妹开始了
哇哦
真能扯还能绣花
兄弟，中国的软剑你玩得真好！
剑好软啊
帅
好可爱的两人
尔泰戴了个帽子！
晴儿优秀
两个小孩一样，挺喜欢的
赛亚真是见一个爱一个呀
我也喜欢尔泰
绿帽子，还有谁！！！！
我的尔泰啊！要被拐跑了。。。。
开始撩妹了
这两个配
他们俩都看起来小小的。好配
尔泰快要走了
好玩
路宏好帅
俩人都太有趣了，
喜欢尔泰
我还敢在你身上打洞呢
尔泰这妖媚的小眼神
他们两好配
这俩货更配
尔泰塞娅99999999
帅呆了
实力撩妹
毛线   秀得出来
月七好样的
尔泰好帅，
好喜欢尔泰
尔泰谁演的
配一脸
眼瞎 哪里是月七
尔泰不是月七
尔泰好帅好帅好帅好帅
尔泰
其实吧 尔泰故意的吧 替大家解围 他知道只有他可以
尔泰要杀青了
感觉他们两个更配
美男对美女挺好
儿太的帽子绿的
怎么尔泰穿得像死人小鬼一样，不带帽子帅
尔泰好可爱，帅
尔泰好帅
声音好苏啊啊啊
我喜欢尔泰
一个鞭子追的都换衣服了
喜欢
尔泰坏坏的
厉害了我的尔泰
好喜欢塞娅跟尔泰这一段
小故娘喜欢玩
最喜欢尔泰了
尔泰好帅
有人穿棉衣，有人穿春装
撩妹狂魔
尔泰是我的啊啊啊啊
不想尔泰领饭盒
哇
尔泰撩妹高手啊
我尔泰我要抱走
尔泰好撩啊啊啊啊啊啊啊啊啊啊啊
塞亚和颖宝是颜值担当啊
全剧最好看的来了
开车了
香飞什么那么像情深深雨蒙蒙的方云
港真，这伤不是一般的假→_
撩妹
尔泰好帅啊
这男的帅
穿的跟新郎官似的
情意绵绵剑囔
美男计
狗
好污
尔泰好撩
这两个才是一对吧。。。。。。
尔泰阿
坏坏的感觉
尔泰本来是喜欢小燕子的？
尔泰真名什么？？？？？？？
实力撩妹
配一脸
厉害了我的尔泰
尔泰玩的很开心啊
好贱法
撩妹技能
尔泰快领盒饭了
马上就要开始调情了
老司机
呵呵呵
好喜欢尔泰  和小燕子 配
她俩挺配的
之后就给他们的出场了
最喜欢这一对了
尔泰真帅么么哒
好有爱
太搞笑了
这俩人太配了
路宏帅
帽子好难看
尔泰比尔康优秀，只因为不是长子
衣服都换了
哈哈哈
尔泰:你不打了，我还怎么泡你呢
她不是月七
尔泰帅
尔泰撩妹
在赛亚跳起来一瞬间我看见了两朵花
都说了不是月七，墨连城都是邢昭林演的
不是月七
不是月七不是月七不是月七不是月七不是月七不是月七不
少年好功夫
怎么绣的呀！我也是醉了
尔泰要领盒饭了
看见威亚线了。
剑好假
这不是月七
在秀恩爱啊
尔泰确实有点像月七
尔泰喜欢小燕子   他知道跟小燕子没希望
再打下去衣服都被削没有了
实力撩妹啊啊啊
开始撩妹啦
其实尔泰蛮帅的
月七是邢昭林  尔泰又不是邢昭林
这样的尔泰男朋友给我来一打
她们是这部剧最甜的了
这打情骂俏好厉害
尔泰要领盒饭了
尔泰喜欢小燕子，塞牙和小燕子像所以
喜欢尔泰
尔泰：对不起啊，媳妇儿，我错了
尔泰是喜欢小燕子的，赛娅和小燕子性格一样的
尔泰好会撩啊
不是月七
尔泰要领盒饭了
尔泰'路宏饰演
说七七的是说女的，在夏至未至里
尔泰  帅 还会坏坏笑
尔泰在帮助尔康
尔泰快要入赘了,四大护卫少了一个
你敢调戏你大嫂
尔泰要被拐跑了
马上尔泰就没有了
尔泰要被拐跑了
尔泰:你不打了，我还怎么泡你呢
尔泰快要入赘了,四大护卫少了一个
要在你身上打洞
尔泰也是够倒霉，先是应付晴儿现在应付赛雅
尔泰喜欢你超喜欢你
好配啊
撩妹技能
郎才女貌  在一起尔泰塞娅在一起
尔泰喜欢你超喜欢你
这打情骂俏好厉害
不太好
尔泰的帽子好…………
好般配
尔泰好帅
？？？？
不帅
..
漂亮
尔泰好呆萌
小嘴真甜，
尔泰是慕容云海的声音呀
在一起
天啊
哈哈哈
小赛亚真漂亮
搭讪666
实力撩妹
塞雅好美
撩妹
尔泰这帽子减分减分
开始了开始了
厉害厉害厉害我喜欢
般配及了
撩妹可以的
这个赛娅好漂亮好可爱  比老版的高考尔泰也是
这晒呀和小燕子好像
爱情小火苗
挺配的
喜欢喜欢
尔泰也撩妹了
尔泰动心了
撩妹有一手啊
您的好友 情话小王子已上线
会撩妹
哈哈哈，厉害了尔泰66666
好喜欢他俩
好喜欢尔泰啊
尔泰好帅
尔泰喜欢赛亚
好会撩啊
好尴尬哦
尔泰：我要泡你，让你爱上我
放过我哥让我来
开始撩妹了
会泡
你们蒙古姑娘都和你一样漂亮吗!哈哈哈哈哈哈哈哈哈哈
我的尔泰好喜欢你啊
心疼我的尔泰啊，尔康欠尔泰的太多了
好撩
尴尬
塞娅跟小燕子像
666
绿帽子？？？？
勾引，赤裸裸的勾引
又帅又会撩
犯花痴
我的尔泰啊
喜欢这一对
感觉尔泰和赛亚太有夫妻相了
塞娅漂亮
羞羞人
赛亚漂亮
撩妹子
尔泰终于会泡妹子了
哈哈哈
这撩妹技能满分！！！
唉，我的尔泰……就这样跟塞娅走了吗
可以说很配了但一想到漱芳斋就要没有他了就很悲伤
撩妹高手
不要啊
原来古代追人就是打打杀杀呀。
尔泰是我的
驰骋草原
耍流氓了
成了
好般配
撩妹高手
真心喜欢尔泰
尔泰瞭妹有一手
哎妈，在一起了哈
尔泰为了他哥色相都牺牲了
真逗
强行撩妹
尔泰晴儿那么漂亮你都看不上
怎么口味这么独特啊
完蛋了，尔泰把塞雅收了
告白了
那个撩妹的，别勾三搭四啊
爱上了
尔泰是萌
额……男人都是甜言蜜语吗
好帅
帅
尔泰喜欢小燕子类型
在一起在一起在一起
程七七
撩妹技能开始
两小无猜
6[6_8^[4>/<]7^]9<\\》5_4《:/
笑死
尔泰好可爱
进树林子了
啊啊啊，勾引人家姑凉
对对对  尔泰喜欢和小燕子一样的
我的泰
老夫的少女心
矮油
尔泰撩妹一流
哎呦尔泰，学会撩妹了。也不会被他哥虐了。2
好帅，尔泰，萌萌哒
厉害
尔泰害羞了！哈哈
尔泰以前是有一点点喜欢小燕子吧
后来永琪和斑鸠表现的明显他就也放弃了
塞娅和小燕子不是一种性格嘛
塞娅尔泰最配了
夫妻相
。。。。
路宏练过马术，超撩
四大护卫要少了一个了
这个尔泰男朋友真好！
我想有个理想中的好老公
666666666666
尔泰刚刚还说要跟晴儿呢
哈哈哈哈哈哈哈哈哈哈哈哈看的我都脸红了
尔泰枪你大哥媳妇，
他俩有戏啊
忽然弹幕好多。。
塞牙，快收你的口水
柴碧云
尔泰勾妹子了
害羞了
策马奔腾
尔泰心想：啊~~~,我是在表演杂技吗！！！
在一起了吗
哎哟我的天  尔泰不许对她笑
在一起
我的尔泰呀
尔泰是喜欢小燕子的
我的尔泰啊，算了，跟个美女走吧
如果没有五阿哥，那尔泰会和小燕子，，，
这撩妹撩的不要不要的
尔泰很好
尔泰不要走
好帅
好美
好想笑
而泰好可怜总是捡不要的
塞亚挺漂亮
套路
尔泰好帅
666
这两个很配，男的帅女的美
绝配
帅帅帅帅
尔泰真好，把尔康了一件大事情
第三部有尔泰塞娅就好了
来了来了
帅
耍帅
尔泰啊上
路宏帅
尔泰帅帅哒
尔泰这套撩妹儿法我们得学着点
太帅了
尔泰超帅的
原来尔泰遇见妹子是这样子的
我好无语
尔泰勾搭晴儿去
看背景
太会撩妹了，在下佩服佩服
是程七七吗？
尔泰帅啊
情侣装吗？哈哈666
尔泰好帅
老夫的少女心
我的尔泰
好看的小哥哥
是在下输了
撩妹手段哈哈
尔泰本来就会撩只是小燕子那他退出没有硬挤进去
为什么不是赛亚嫁过来
看上尔泰了
尔泰也好帅
尔泰泡妹子嘞。
这俩天生一对呀
老师有人撩妹
好漂亮
我的尔泰要跟赛娅跑了！
这个尔泰男朋友真好
塞娅好漂亮
哇
真会撩妹
尔泰总算找到好姑娘了
这姑娘，谁陪她玩儿会儿就喜欢谁
无聊极啦
尔泰很会哄女孩的
装逼
因为尔泰喜欢小燕子
塞娅的性格像小燕子
表白尔泰
尔泰是演楚乔传的月七吗
两个都可爱哈哈哈
猛然发现福尔泰也很帅啊
尔泰喜欢小燕子，但是小燕子喜欢的人太多，才喜欢赛娅
大家好  现在是尔泰装逼时间
抱走我尔泰
跳绳
撩妹了
尔泰是我的
在一起，在－起，在一起。
特喜欢看这段    帅帅帅
公主被征服了
她们两个才是真正的一对
全是替身
6666666
还有马震呢？
有情况
尔泰是得不到小燕子，就找一个和小燕子相似的
赛亚不过是小燕子的替代品罢了
有戏
马尔泰若兰也骑过
我被撩到了
这就是现在的开豪车兜风
替身？
进度真快
这两个害羞的主
可惜后面没有尔康的戏了
呵呵
满满的都是套路
前方高能
哈哈哈
两个人都有小孩子气，
好可爱好可爱
哈哈哈哈哈
p
好帅啊woc！
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
尓泰好帅
尔泰好撩啊啊啊啊！！！看那小眼神
是程七七
帅
尔泰要领饭盒了
好帅
原来炒鸡是这么来的
程七七吗
尔泰开始撩妹了
万能的尔泰，本来帮助尔康去追求晴儿，这又来追赛娅
撩妹技术真好！
尔泰男朋友一等的好
尔泰男朋友武功一等的好
塞娅好可爱，好漂亮
尔泰和邢昭林有点神似
小燕子系列哈哈哈哈
尔泰撩妹66哒
我要是没有记错的话 他们好像在一起了
不然又得乱点鸳鸯谱
啊哈哈哈哈
其实尔泰喜欢小燕子，之所以娶赛亚是因为赛亚像小燕子
塞娅小孩子气
尔泰喜欢小燕子这样性格，脾气的姑娘
这样的撩妹对蒙古姑娘管用，
尔泰喜欢小燕子吗
成功收获了姑娘的心
感觉更加确定了我之前的想法，尔泰怕是之前喜欢小燕子
在一起在一起在一起
嗯哼
表白尔泰   2018.2.23  12:22
这突然就来一句撩妹的话不尴尬么
赛亚刚才变男的了
马震那个别走
哈哈哈哈哈
尔泰要去蒙古一年才能回来，
