看的我鼻涕一把泪一把的，有时候看弹幕还突然笑一下...
还不是小燕子帮紫薇，紫薇都是害小燕子的
金锁笑了
我还没有成年
看到的扣1
111
喜欢五阿哥
1
皇后太可恶
再说那个呃小燕子就本身就给那个皇帝带来很多乐趣嘛
红红火火
额
1
呵呵
心塞
不是逃了吗  旧版的有逃啊
尔泰帅  哈哈哈
金锁，真的笑
笑场了
好卡啊
后来还有一次大逃亡
真的大逃亡
孙耀琦感觉好做作
还仰慕？？
看的我都哭了
尔泰帅  哈哈哈
皇后太可恶
孙耀琦不配做演员
演的不错
我
善良的恶心
无语
看得我心碎
好卡
小爷我
呵呵呵
紫薇太善良
妇人之仁，紫薇，都是因为他，所以皇后才有机会害小燕
呃，我刚初一
看着好心疼啊！
我有晴儿
这是威胁啊
好看多了
又到泪点
紫薇太丑了太胖了演技太烂了
讨厌她抢戏不说还笑
紫薇长痘痘了
你不丑你不胖你演技好你有病
2017年8月有谁再看
皇上还没说原谅她们，紫薇就威胁起来了
！
好好看把  不错 
又说死罪
我才11岁
尔泰呐？
OM
现在有人吗
我还在上学
这部皇上帅
你们这些弹屏 有意思吗
尔泰好萌
皇上心软了
哈哈
看着看着名字看着看着
紫薇太心软了
这么好的吗
紫薇这种最攻心计啊，适合呆在皇宫
紫薇84年的班杰明82年的小燕子85年的
陈玉珂我爱你一万年
所有人说一下时间
说如果皇帝杀了他们三个弱女子，会被天下人耻笑
你们都几岁了？
18年1/14
有没有15到17岁的
紫薇就是想回去认爹啊
看到这里我果断快进
江湖
喜欢尔泰那个二愣子啊哈哈哈哈
尴尬
我想吃鱿鱼酥
我饿
O(∩_∩)O
6666666666666666666666666
有人吗
紫薇好作
海陆漂亮
好看的不得了
大结局小燕子很可怜永琪娶了欣荣
对！
哎
不是吧
真的是恶心
还好吧
就喜欢看他们可怜兮兮的样子
各有各的好！
我觉得福尔泰好帅
金锁老在那里笑
唉
紫薇丑紫薇丑紫薇丑
也挺心疼皇上的
你不原谅我就不起来
歇后语
紫薇演技还行啊，倒是金锁
讨厌金锁，好做作
诶，那个谁纪师傅快粗来
有人吗
不喜欢紫薇
只有这两个儿子，且都长得这么帅，都娶了公主，享福啊
讨厌紫薇,做作
呵呵的紫薇
我4岁了
兄弟
张益达出戏了
朕不让你起来
喜欢尔泰
沙海更新还是等不及
尔康好……黑啊
看了好几遍，看不厌
那就跪着吧
20180808  哇 是奥运十周年啊
17
[xl14z]
视s
但是永琪最后去找小燕子了
对
唉！
好可怜
dd
哈哈
福伦是个好爸爸
不能原谅
被砍几刀才好
紫薇不是应该夹手指嘛
纪晓岚的证据呢
我也想要2个儿子
紫薇这是对的  别人好不容易找到他老汉
嗯嗯
生了一个帅气的尔泰
尔康父亲演的好
都是你
尔康，我超不喜欢
   
我也是
超级喜欢尔泰
。。。。。。。。。。。。。。。。。。。
喜欢小燕子
对
永棋
但最后永琪还是去找小燕子了，不用欣荣
现在还有人看吗？
。。
这里还是老板的拍的好
一个是还珠格格，一个是金枝玉叶，那金锁好尴尬啊
NND
尔泰好帅！！！
福尔泰好帅
我看到永琪的鼻屎呐
有人陪我一起看吗
一个人一句话
我儿皇后他妈乃个老韭菜根
我家尔泰好帅
看到尔康情不自禁的就会出戏，哈哈哈
孓
鼻屎？永琪
最后永琪和欣荣生了个儿子叫绵忆，然后永琪去找小燕子
感觉金锁好尴尬 无存在感哈哈哈哈
不是还有特赦令吗
她们还是姑娘，那她们啥时候变男的
福尔泰好帅
福尔泰好帅
666
怕了
好，郑让你去死
6666666
都是你
金锁好坏
哎哎哎，可怜可怜啊
条圆乎乎过摩纳哥公国高。iobnuevbvxb不
，，，，，，，，
我超喜欢尔康  一想起张益达的样子   笑死我了
小燕子
小燕子打脸
小燕子只是信差而已
好看！
尔泰好帅
尔泰好帅
我就说说
小燕子  脸疼吗
为什么怪小燕子
小燕子捣乱一个顶俩
乙;
风儿阵阵吹
金锁
怕了吗
来人啊！都是编剧做的。砍了他
我还有晴儿
怎么可以这样说他们
金锁能不能不偷着笑了
尔泰好帅！！！
来人啊！都是编剧做的。砍了他
卑鄙
谁说清楚
现实生活中小燕子和尔康是一对
小燕子真的很讨厌
！“@hhxyhsyyshyyzgyhzuzhhz
对，他俩领结婚证了
讨厌金锁
怎么有这么傻的妹子   话多说不好  笨
风儿阵阵吹
我爱尔泰
小燕子实力打脸
全剧终
小燕子：我就说说，至于吗
凹
看看金锁那样
What
那梁大人怎么还没来啊
全剧终
小允子
总觉得所有皇帝老儿都很二
小燕子有说过自己是格格吗
金锁一直在哪瞪什么眼睛啊
金锁真是够了
不喜欢金锁
金锁就是个陪衬
前方高能搞笑
Kk
好可怕啊
呵呵
你更讨厌
紫薇金锁都是狗懒子
你特么别提臭新荣恶心她
皇上****
喜欢小燕子
晴儿是好人
刚刚还一人做事一人当呢，现在又怂了
刀吓留人
走的好快啊
孤独感
老佛爷来助攻了
班杰明火来了
她们俩也是着急的吧
老佛爷好人
上课是你自己子阿姐哇家啊宅撒事啊啊健身卡裤子怎么美
唉
格格被斩 全剧终
杀了小燕子全剧终
好快啊是住隔壁嘛
老佛爷快去啊
格格被斩 全剧终
最喜欢的前桥段来了
只要给我200元你们可以对我动手动脚我是一个20岁的女
最后还是没死
斩了就没看了
愚蠢无礼变成了率真可爱，你们瞎了吗
皇上简直蛮不讲理
斩了就没得看了
斩了就大结局了，没得看了
不能
皇上真不要脸。人家小燕子对你好，帮你找女儿
哇塞，
怎么还没被斩啊。快斩，最讨厌小燕子。
其实很感动，小燕子的天真烂漫赢得了大家的心
喜欢颖宝
死不了，最后一集燕子还在呢
皇上等台阶呢
废话多
季师傅666
斩一个少一个
最葛尼班杰明了
纪晓岚，你怎么那么6，你家小月格格咋不来求情啊
纪师傅挺好的
666
前面不要脸
对
皇上果然偏心更喜欢紫薇一些
这些大臣还有晴儿老佛爷都很好啊 她们都已经喜欢上还...
纪晓岚叔叔你的证据呢
不要脸了！
这个老佛爷真好
都是性情中人
关键时刻还得是自己的老师啊
好爱赵丽颖
这些大臣还有晴儿老佛爷都很好啊 她们都已经喜欢上还...
纪晓岚叔叔你的证据呢
現實中李晟跟李佳航都有孩子了
我喜欢这个老佛爷
这么得
你才被
[9sw9m]
感动时刻
哈哈
这还得了
五阿哥演技不行
这么齐
肯定不斩咯
喜欢纪师傅
佳航李晟99
紫薇的脸好脏。
啦啦啦啦啦
这金锁是装的啥
感动
6666666666666666666666666
666
这些人都真好啊团结
不如旧版好看
感觉金锁有仇一样
哈哈，要杀一起杀
感动
越看越讨厌紫薇
肯定死不了，这部戏讲就是还珠格格
呃呃呃呃呃呃呃呃呃呃
团魂炸裂
小燕子该死
牛逼
帅
喜欢晴儿
超喜欢永琪，不论是旧的还是新的，都喜欢
我想知道那个是和申
不喜欢班杰明
集合，准备团战
主角颜值太低了，
好有爱！！！
只有我注意到金锁的表情嘛
震撼了
超喜欢永琪，不论是旧的还是新的，都喜欢
集合，准备团战
纪晓岚，你怎么那么6，你家小月格格咋不来求情啊
感动时刻
怎么有一些戏不见了
既然是必输之赌，有何来筹码
我喜欢晴儿
这个老佛爷很善良
me too。
 皇上是一个昏君
紫薇个骚货
虐死了虐死了
我也喜欢老佛爷
狗皇帝
滚大清就是被你搞坏吧
看哭了
全杀了，结束。
后面你就不喜欢她了
我也喜欢老佛爷，因为他对晴儿好
晴儿口才真好
老佛爷是甄嬛嘛
请皇上饶恕
屁，张睿演技挺好的
要哭了
咦，小燕子还没拖出来啊
小燕子对你多好
看哭了
甄嬛啊
统统拖出去枪毙十次
没的天理了
演的真好
饶了她吧
真好
老佛爷变了
晴儿这个排比句好煽情啊  晴儿这个排比句好煽情啊
这部里面老佛爷特别好
老佛爷也真好啊
这还罚了
越来越喜欢老佛爷了
好口才
稀里哗啦的
变好了
快死
看一次哭一场   2018  3  9@
哭的我稀里哗啦
很感动
我都看的泪流满面了
老佛爷对她们改观了
小燕子怎么不说了
晴儿这个排比句好煽情啊  晴儿这个排比句好煽情啊
喜欢丽颖
喜欢丽颖
对啊，金锁装什么装啊
集合，准备团战
这个太后好
。嗯
这个太后比原版的太后好多了
晴儿好漂亮
我也喜欢晴儿
嗯嗯
尖尖圆圆，哈哈，
喜欢晴儿
都在为小燕子求情
这个老太后是好是坏呢？
不喜欢老佛爷
饶了她吧
晴儿最好了！！！！！！！！！
好
王八蛋老佛爷爱装好人
紫薇胸大
这个老佛爷比旧版的好
狗皇帝
我烦金锁；真丑
小燕子怎么不说话了？
老佛爷真的不错
饶了她吧
紫气东来是第几集？
竟然把我看哭了
饶了她吧
紫气东来第一部28集
其实老佛爷很好只是太古板
晴儿好好
看的我哭了。
金锁最做作
我也好爱晴儿赵丽颖。
是可忍孰不可忍
怎么可能饶了她，我要是皇帝，早就被她们气死了
小燕子不敢说话了
晴儿棒棒哒
这个老佛爷好不坏
晴儿真好
老佛爷就是甄嬛
喜欢晴儿
看在她是主角，绕了她吧
為什麼晴兒這幾句話讓我想要落淚
晴儿真好
喜欢丽颖！
啊啊啊老佛爷真好啊
老佛爷也于心不忍啊 这些人都很好
喜欢晴儿
老佛爷挺好的
最后一个都没死
跟以前不一样了
好难受啊
这个皇宫就是一个屠宰场
越来越喜欢老佛爷
其实老佛爷本来挺好的，就是后来让人带坏了
我家丽颖好棒啊
我哭了四次一集
看得我都哭了
老佛爷好好
奥卡福见附件放假空格好看回家两天联合会看见了科技与
老佛爷不错
晴儿好啊
就是因为不忍才
喜欢晴儿
看在她是主角，绕了她吧
紫气东来是第几集？
晴儿口才真好
我喜欢晴儿
為什麼晴兒這幾句話讓我想要落淚
晴儿口才真好
这个老佛爷好不坏
太后，你是真好！
                         ‘’‘’‘’‘’‘’‘’
转机来了
太后挺好
紫气东来。
喜欢李晟
这个太后挺好的
老佛爷人蛮好的
呵呵。。
好好
皇上太坏了
太后善良
喜欢小燕子
这个老佛爷好
哎
嗯嗯
比旧版的好多了
晴儿是我的
好喜欢这个太后
对，原版的就是添油加醋，想害死小燕子他们！
这个狗皇帝不敢砍别的人，就拿小燕子撒气，装
老佛爷不坏，她只是为了儿子，为了大清
撒气的来了
老佛爷仁慈
喜欢老佛爷
新版的老佛爷比旧版的好
我的晴儿去哪儿了
弹幕少的可怜
还是小燕子最可怜啊，不是亲生的就要被斩
老佛爷不好，不坏
饶了她吧
太团结了
喜欢小燕子
老佛爷挺好的
这个老佛爷一直还是不错的
金锁躺赢
来看赵丽颖李晟
老佛爷是被皇后骗了
老佛爷真好
往死里打
出气球第几集
老佛爷好口才
刺的不是腿吗怎么绑手臂了导演太不走心了吧！！！
喜欢永琪
老佛爷好啊
新版老佛爷比旧版善良
老佛爷学会了
我喜欢这个老佛爷
流眼泪了
赶紧杀杀完结局哈哈哈
老佛爷好慈祥啊
喜欢老佛爷扣1
33
他不是要代他们死吗
老佛爷真好
这老太婆好好
又是可恶的皇后
肯定是皇后死人
皇后太可恨了
又是皇后
皇后，坑定是皇后
肯
6965.968
老佛爷是好的，只是因为皇后才不分是非的
卡。
金锁最丑，最作
颖宝儿
1234567890
可恶的皇后
老佛爷  晴儿 好助攻
是皇后
想看弹幕
其实小燕子才是最可怜的
足球赛第几集
猪八戒？
老佛爷真的善良
喜欢老佛爷
又是可恶的皇后
好喜欢太后这句话
胸还不算大
刘雪华饰演皇太后
皇后不要脸
又是皇后
老佛爷是个王八蛋
皇后太可恶，，，，，
现在有真爱吗？
哭成泪人
师傅最棒！
领盒饭
这个梁大人演的好好
可恶的梁大人
 纪晓岚这手留的好
皇后太坏了
你才是呢
证据来了
纪师傅，棒棒哒
昨晚梁大人喝大了
肯定是皇后有派哪个死东西
或者说是那个死老婆子老佛爷
哈哈哈哈哈哈哈哈哈哈哈哈
皇后吗
百分百就是皇后的人
皇后，坑定是皇后
富恒
可恶的梁大人
这个梁大人好笑
好太后
对
老佛爷好样的，喜欢
喜欢纪晓岚
你关了多少含冤莫白的人，赶快一切讲清楚。
皇后太贱了
喜欢老佛爷
这里面太后仁慈
都是敷衍，找个人杀，因为牵连了其它重要的人
喜欢纪晓岚
神补刀啊
给老佛爷点赞
牛逼了，正好撞上来了
老佛爷英明
更加喜欢刘雪华了
太后可以玩几天
怎么没和珅啊！
不是，这老佛爷是好人还是坏人啊，看着挺慈爱的
可怜。。。家人应该是无辜的
老佛爷好好
呃呃呃
喜欢太后
嘿嘿
梁大人喝了吗
其实历史上的皇后人挺好的
哭了
佛爷牛
老佛爷亮了
抄家也太黑人啦
老佛爷人真的挺好，喜欢
喜欢这个老佛爷
都在帮他们
哈哈 老佛爷威武
神补刀啊
神补刀啊
哈哈 老佛爷威武
赵丽颖好美
还以为是在说皇上呢？
对
胃疼
皇后，不要脸的皇后。在戏里是不要脸，但是在现实中是
好太后
你不要叫皇阿玛  恶心
肾疼
喜欢老佛爷
那个时候有监yu吗
太后好棒
骂人请不要说演员，更不要人身攻击
皇上不要脸
点赞好不好
皇上威武
喜欢老佛爷
此刻老佛爷好帅
胜利
小燕子你少说点话吧
胃疼？
他儿子就是个该死的
刘雪华好看，演技也棒，真心漂亮。
紫微好可怜
皇后不在一旁煽风点火，事情顺利多了
喜欢纪师傅
我感觉小燕子就是贪生怕死
是肝疼
哈哈哈胃疼
66666
不然根本就不知道有多严重
是不是减少了
是太后密令，你们还赞，不信看后面
老佛爷真好
我感觉小燕子就是贪生怕死
此刻老佛爷好帅
皇后，不要脸的皇后。在戏里是不要脸，但是在现实中是
我想给你睡一起，赵丽颖
嗯
好太后
这个贪官让人恶心、
有谁现在在看？扣1
为什么叫太后都叫老佛爷
小燕子不可以叫皇阿玛了，
其实皇上就等这时候，找理由不杀
！！！！！！！！？？？？？？？？。。。。。。。，，
五阿哥刚刚的动作是要领盒饭啦
对小燕子竟然没有不忍，小燕子最无辜，卷进来
皇上那不是和小燕子开玩笑呢么
气的本宫胃疼
其他人有不忍，对小燕子就没有吗？扎心了
老佛爷是甄嬛，皇后是如懿
肾虚
五阿哥么
你要代他死他就不吭声
紫薇说晕就晕
花
我喜欢你赵丽颖
改口叫女儿了。
1
1
梁某人演的好
明珠格格
常太医好忙
1
在这一刻我觉的太后心地很善良
女儿
别人都没事就你弱
紫薇真的太柔弱了
紫薇挨过刀子
太后本来就善良
金锁只是一个奴婢，凭什么躺格格的床
hu快来救救我的女儿
常太医傻了吧唧的
1
剧情需要，骂什么骂，要你就不看多嘴有本事你去演可笑
意思是忍心杀小燕子
黄上不说朕
紫薇好贱啊
1111
纳尼
11111
小燕子好可怜
快来救救我的女儿，听到这莫名的心酸，我哭了
眼睛亮了
尔康一脸懵逼
尔康一脸懵逼
老佛爷仁慈啊千千岁
jhjuhughgyu
常太医
小燕子很无辜
真脆弱
就知道会晕
知道毛线
昨死
常老头
真不要脸啊
哎呀好喜欢常太医哈哈哈
哈哈
女儿
紫薇嘴上说着不伤害小燕子,但是她进宫还不是为了认爹
皇上现在忍心杀小燕子,皇上现在喜欢紫薇超过小燕子了
啊啊啊真好啊 这些人终于都熬到头了
女主是谁？？？？？？？？？
逃亡咋没了
太虚伪了
哈哈哈哈哈哈哈，常太医。
晕的真是时候
可怜的小燕子
我的女儿，，感动
金锁呢
:赵丽颖
我的女儿，，感动
又多个女儿
海燕呐你可长点心吧
紫薇真的太柔弱了
哦刚才不是说输
人家开玩笑呢，怎么可能不喜欢小燕子
这坐姿
天，这紫薇是水做的，动不动就晕
好喜欢小燕子！！！！！！！！！！！！！！！！！！！
终于承认是皇上的女儿了，
晴儿紫薇小燕子，么么哒。
看着赵丽颖挺单纯的。
这个太后是甄嬛吗??
赵丽颖我喜欢你
好喜欢还珠格格
本来人家就很单纯
女主角是小燕子。为什么都是在紫微紫微的听着好烦
第几集承认是他女儿的哦
醉了..现在都和丫鬟躺一起...那边就是众人恩宠
紫薇就是太弱
老戏骨了   太后。
皇上认女了
笑撒
狗儿
风平浪静了
被容么么扎针 又挨了一刀 等等能不弱嘛
额
紫薇真他妈弱
终于雨过天晴
只说规矩太多
总算有惊无险
尔康又没接住
喜欢常太医
有享受
紫薇真是娇气
紫薇人呢
小燕子和永琪的眼神绝了
晕的好是时候
好喜欢晴儿。要疯啦
出了丑，就找个大臣做替死鬼。这个封建臭制度是块好大
遮羞布
说紫薇柔弱的那个，紫薇还有伤没好呢，你来试试？
这老头成天医他们累坏了
舅公舅婆做证在那集
这伤好假
为什么我觉得这个长寿好搞笑？
我喜欢常老头
我喜欢常老头
喜欢常太医
常太医好忙
都原谅他们了，后面怎么去流浪的？
我家颖宝！
喜欢晴儿
最喜欢晴儿了
同意
赵丽颖的胸超大
喜欢赵丽颖
常寿演的好
好逗
哈哈哈
睛儿简直是救星
在戏里不喜欢紫薇
别和我抢晴儿
好，希望皇上把紫薇和小燕子都认了。
最喜欢紫薇尔康
紫薇恶心死了
听到金锁说话就出戏
每次看见常太医就想笑
赛娅便是夏至未至里的程七七.
我去那个时候有棉签？！
赵丽颖胸大？娜是要笑死人吗？
还是我家晴儿的最好。
好喜欢常寿
小燕子是还珠格格紫薇是明珠格格
常太医好可爱
常太医挺逗的，哈哈
常太医萌萌哒
小燕子失宠了
就喜欢丽颖
希望一视同仁
你确定你在治疗紫薇
常太医好搞笑
常寿好逗
老常这个老顽童
不喜欢紫薇
常太医可爱
我也喜欢常寿
至尊之路
晴儿是我的
确实都认了
睛儿的衣服真漂亮
SHASHASHASHASHASHASHASHASHASHASHASHASHA
长寿好萌
什么药啊，不留疤，也给我呀
常太医
其实本来还珠格格对外宣称是皇上的义女
紫薇太娇情
ai~
晴儿好美啊
喜欢你
好胸
讨厌小燕子说话
快来救救‘我’的女儿
又是屁股
认了亲女儿就不管燕子了，一个人也没有。和丫鬟躺一起
棉棒？…？？
好喜欢常寿
凭什么所有人都喜欢紫薇
好喜欢常寿
凭什么所有人都喜欢紫薇
不喜欢紫薇
喜欢长寿
睛儿的衣服真漂亮
每次看见常太医就想笑
这个金锁火不了
.
这个电视剧百看不厌
一直喜欢赵丽颖
长寿好搞笑
l
小衣
丽颖最棒！！！！！萌萌哒
你们都不睡觉吗？
这个常太医好逗
你们看人还是看胸啊
百看不厌
打的不是前面嘛
程七七在呢？我怎么没看见？
小衣
我喜欢常太医
当指挥官了
尔泰好帅
以前出事皇上陪小燕子 现在知道紫薇是真格格又在陪着
我看到这就讨厌死紫薇了
我也感觉紫薇太柔弱  老是装晕倒  无语  真装
嫂子就是好
长太医的裤子好好看呦
常太医好可爱
嫂子真棒
还珠格格紫薇是主角？荒唐
小衣？
好喜欢常太医
厉害了，要是我们 抽一鞭就晕了
常太医太好玩啦
2018.5.1
又哭了
就喜欢赵丽颖
有回音
常寿最可爱
常太医太逗了
这个电视剧百看不厌
百看不厌
小衣
常太医太逗了
好可爱常医生
这个电视剧百看不厌
一直喜欢赵丽颖
最喜欢晴儿了
常太医好人，哈哈
丽颖最棒！！！！！萌萌哒
赵丽颖一哭我也就跟着感动
常太医为什么穿太监衣服？如果是太监，为什么有胡子？
感觉晴儿和萧剑好配啊
老光滑了
丽颖最棒
网上袋子，然后再穿上衣服。哈哈。
不是屁股受伤了
老顽童，常寿
在戏里讨厌紫薇这个角色！但在现实中是喜欢紫薇的！！
喜欢赵丽颖的扣1
啥时候紫微和小燕子要砍头啊？
颖宝，么么哒
常太医的表情动太好笑了
怎么会找一个这么丑的人扮演紫薇的角色，又丑又差
常太医是来搞笑的
哈哈
颖宝。女神。
常太医有点搞笑呢
这个医生好变态
赛亚是程七七吗
宝颖最美
小燕子说话有回音
你们就不要说紫薇了，人家也是在演技而已
金锁哪来的
晴儿这滴眼泪绝了，颖宝戏演的太好了
紫薇就是个屁
拎
黄上就是偏心
紫薇只会装可怜
讨厌金锁说话声音
常太医爱你哟
还穿小衣
拎过来，哈哈哈哈
常太医以后好像成为了漱房斋的专属太医
小衣?
小衣
感觉晴儿和萧剑好配啊
常太医是来搞笑的
常太医有点搞笑呢
颖宝。女神。
怎么会找一个这么丑的人扮演紫薇的角色，又丑又差
宝颖最美
为什么紫薇那么娇弱？
拎过来的
我喜欢的人好多，最讨厌俞妃和兴荣
怎么还坐起来了
丽颖太棒了
喜欢紫薇
看到没.一说紫薇是皇上的女儿.受伤了自己一个屋.
厉害了
紫薇就那么弱不禁风
1
金锁以为你谁昂
紫薇金锁恶心
金锁真自恋
还有唇彩呢
喜欢赵丽颖的扣1
最讨厌金锁
紫薇晴儿美的一塌糊涂
1
晴儿美得一塌糊涂
讨厌金锁
金锁的伤是假的
小燕子真可怜
金锁真看得起自己
觉得这个医生变态的请点赞
一直都很喜欢尔泰
人家演得好不好，和你们啥关系啊，换做你们。你们未必
金锁你哪来的自信说，紫薇醒了一定会来找你的？
讨厌皇后
好假呀
我们没说演员 骂的是角色
11111111111111111111111111111111111111111111111111
讨厌紫薇
小燕子地位瞬间下降和金锁躺一起了，紫薇却单间治疗。
这常太医真牛
有回音
好喜欢赵丽颖
1111111
还是新版 『林心如和赵薇演』的好看些。。。
金锁真自恋
小燕子地位瞬间下降和金锁躺一起了，紫薇却单间治疗。
还是新版 『林心如和赵薇演』的好看些。。。
紫薇晴儿美的一塌糊涂
怎么都没人啊
有
有
y
好漂亮啊
这个紫薇不漂亮
感动
这就叫父爱
  
为毛啊 紫薇好矫情
突然不喜欢紫薇
是 啊啊
做起来什么
啦啦啦呜呜呜
特别讨厌金锁
这个常寿好 他很搞笑啊
喜欢晴儿
额伦法规ugykitf额伦法规ugykitf
有人吗
矫情
矫情矫情
剧本说她娇弱啊   编剧
都是一样的伤，怎么这两个就无大碍，紫薇就晕了
我的晴儿最美
终于真相大白了。
我还稀里哗啦的。
最喜欢永琪和萧剑 现在又有点喜欢尔泰了
l丽颖后期整容了
讨厌紫薇金锁
有
为啥书上说，令妃是心机婊，绿茶婊，看起来不像啊？
紫薇就最多花言巧语
话说不是逃走了咩
紫薇水做的
立马忘了小燕子了。。。。
晴儿太美了，我一个女的，哎，，，，
看来还是亲生的重要
紫薇整一个白莲花，做作啊
讨厌金锁
紫薇好胖
有点心如的样子
肯定补妆啦
金锁只是衷心
找你？算了吧，人家阿玛都在那里
我们大家一起来见证紫薇有没有找金锁
就她矫情，人家小燕子打的才重呢
尔泰尔泰尔泰尔泰尔泰尔泰尔泰尔泰尔泰尔泰尔泰尔泰
紫薇醒了怎么可能会找你
皇上不爱小燕子了吗
讨厌紫薇
不应该是最讨厌皇后吗
讨厌金锁
后边为啥跑来的？？
冒个泡⊙▽⊙
丑八怪紫薇，这么多人守着
只不过是电视而已大家看得看不惯这个看不惯那个的，
喜欢紫薇，和燕子
我喜欢尔泰
为啥每次都紫薇伤的最重，小燕子她们受得都是一样的伤
紫薇真贱，怎么不死了
就紫薇柔弱
紫薇身体弱
感觉金锁更像夏雨荷
紫薇眼睛看着总是怪怪的耳朵又大
我看是水
醒了
有
呵呵
有
令妃好漂亮
讨厌皇上和指纹
我也ishi个内女
药药次誒咯安
因为一直都在受伤
你特么才矫情，人家紫薇是旧伤未好又是新伤
让金锁和小燕子在一个屋里治疗.也没人围着他们.
令妃咋那么好啊
喜欢令妃
晴儿演的实在太好了，太棒了
眼睛变大了
喜欢令妃娘娘
药呢？我咋看着是个空碗啊！
紫薇鼻孔好大
逃走的那块是因为香妃
说紫薇演的不好就你演的好
矫情了很呐
又矫情
他们脸颊两侧的头发好假啊
紫薇挨了一刀还没好呢
话说不是查指甲了吗
令妃最好
空碗
紫薇和金锁不好，人家也是明星，是演员，喷子就别说话
紫薇你耳朵真个性
碗是空的
空碗
妈的 动不动就晕倒晕倒
是空碗？？？？？？？
好讨厌金锁
赛哑就是程七七
刘紫薇晕倒了啊太弱了
无语
紫薇身体不好是因为为皇上挡过一刀
紫薇是姑娘里面最肥最弱的
ff
太矫情
好好追剧行不，讨厌这个，不爱那个的，，那你别看啊，
这是剧情需要 你们懂啥
荣华富贵全得到了
好好看
不逃亡了马
人家是情如姐妹，名为主仆
区别，一边众人宠，一边无人问津
讨厌小燕子
为什么一些人就是喜欢乱说人，
令妃很有心机
感觉紫薇一直都是瞎的
小燕子没有根基，稍不对就会挨打砍头
看到这就心疼小燕子，知道是假的了都没人管了
别说紫微坏话，你还不如她呢
哈哈哈
丑死了紫薇这个样子
哈哈空碗
令妃当皇后那就完美了。
666
又哭
令妃娘娘好善良
不怎么喜欢紫薇
就是
招风耳
紫薇太棒了
有了紫薇就不要燕子了
皇上咋那么讨厌呢！
现在真格格的区别来了
阿
糖茶
紫薇的耳朵好奇怪，招风耳
一看紫薇是自己女儿，就不管小燕子了
紫薇好漂亮
看到紫薇可怜巴巴的都讨厌
有了女儿，忘了小燕子
皇上你装的还挺像一回事
紫薇是圣母白莲花。。
不得不说，海陆的耳朵和邱心志真的是一家的
又多了一个女儿各各
小燕子命没有紫薇值钱，小燕子脸上都是伤都不带管的
令妃好美
小燕子脸上的伤呢
令妃对谁都这么好么
看了几百遍还是喜欢看
说演员不好，跟自己多好似的
不喜欢皇上对紫薇好
碗是空的
讨厌紫薇的扣5555
我看到了紫微身后的胸罩带印子。。。。。。
55555
小燕子好可怜咯皇上对她一点都没有喜欢了吧
小燕子最委屈
就紫薇那么金贵？
不要燕子了
大爱令妃
紫薇总是在吃药
hghmm,f gvjccdt
tnmdn
丽颖好美啊
皇后是坏蛋
紫薇矫情
我感觉特别好看
令妃：他奶奶的终于不用防着你了
百看不厌
好感动
这皇帝  忘了小燕子
55555
感觉小燕子好无辜
想起了小燕子受伤
看了几百遍还是喜欢看
紫薇是圣母白莲花。。
我也讨厌金锁不管是戏里还是现实
矫情
小燕子怎么办
